Player,gp,field goals made,field goals attempted,long,field goals made 1-19yds,field goals attempted 1-19 yds,field goals made 20-29yds,field goals attempted 20-29 yds,field goals made 30-39yds,field goals attempted 30-39 yds,field goals made 40-49yds,field goals attempted 40-49 yds,field goals made 50+yds,field goals attempted 50+yds,extra points made,extra points attempted,fpts,fppg
Jason Myers K  SEA,17,39,45,—,0.305,0.305,8.4,9.3,12.6,13.2,11.5,13,6.5,6.5,50,51,167,9.8
Ka'imi Fairbairn K  HOU,17,39,43,—,0.326,0.326,9,9.4,10.6,10.8,11.9,13.2,6.9,6.9,40,41,157,9.2
Brandon Aubrey K  DAL,17,35,40,—,0.288,0.288,8.3,8.3,9.3,10.2,10.7,11.9,6.1,6.1,49,49,154,9.1
Spencer Shrader K  IND,17,34,39,—,0.291,0.294,10.6,10.8,12.1,12.9,8.3,9.6,2.69,2.69,51,52,153,9
Nick Folk K  ATL,17,35,38,—,0.291,0.291,8,8.1,10,10.2,10,11.2,6.2,6.2,46,47,151,8.9
Jake Bates K  DET,17,31,38,—,0.241,0.241,6.6,6.7,9.5,9.6,9.5,11.5,5,5,53,55,146,8.6
Cameron Dicker K  LAC,17,35,39,—,0.279,0.28,7.7,7.8,11.7,12.4,10.4,11.5,5.3,5.3,39,41,144,8.5
Cairo Santos K  CHI,17,32,37,—,0.247,0.247,6.8,6.9,8.9,9.7,10.5,13,5.2,5.2,46,47,142,8.4
Harrison Mevis K  LAR,17,29,31,—,0.243,0.246,6.7,6.8,7.9,8.3,10.3,11.5,3.38,3.38,55,56,142,8.4
Chase McLaughlin K  TB,17,33,40,—,0.289,0.289,8.2,8.3,9.9,11.6,8.3,11.7,6.1,6.1,42,44,141,8.3
Will Reichard K  MIN,17,32,35,—,0.288,0.288,7.9,8,9.9,10.2,8.3,9.2,6.1,6.1,42,43,138,8.1
Tyler Loop K  BAL,17,29,32,—,0.233,0.233,9.3,9.4,10.7,10.8,7.8,8.7,1.16,1.16,49,51,136,8
Evan McPherson K  CIN,17,29,34,—,0.235,0.236,6.5,6.5,7.7,7.8,10,11.1,5,5,47,50,134,7.9
Harrison Butker K  KC,17,33,38,—,0.505,0.506,9.5,9.8,10,10.2,8.4,10,4.62,4.62,35,39,134,7.9
Wil Lutz K  DEN,17,30,36,—,0.224,0.224,8.4,8.5,10.6,10.9,6.4,9.3,4.4,4.4,44,45,134,7.9
Cam Little K  JAC,17,28,32,—,0.234,0.234,6.4,6.5,8,8.1,8.5,10.2,4.96,4.96,47,48,131,7.7
Eddy Pineiro K  SF,17,31,34,—,0.244,0.245,6.7,6.8,8.5,8.8,10.4,11.5,5.2,5.2,37,41,130,7.6
Charlie Smyth K  NO,17,30,36,—,0.268,0.271,7.4,7.6,9.7,10.5,7.9,11,4.18,4.18,37,38,127,7.5
Jake Moody K  WAS,17,28,34,—,0.219,0.22,8.1,9,8.8,9.8,7.1,9.8,3.38,3.38,43,45,127,7.5
Andres Borregales K  NE,17,27,32,—,0.421,0.422,7.2,7.3,9.1,10,6.5,9.7,3.62,3.62,44,45,125,7.4
Tyler Bass K  BUF,17,26,31,—,0.214,0.214,8,8.9,7.1,7.2,6.2,9.3,4.54,4.54,46,49,124,7.3
Trey Smack K  GB,17,28,34,—,0.284,0.287,8,8.2,9.1,10.1,8,10.3,3.13,3.13,38,42,122,7.2
Jason Sanders K  NYJ,17,29,33,—,0.238,0.239,6.6,6.6,10.5,10.6,6.9,9.6,5.1,5.1,34,37,121,7.1
Joey Slye K  TEN,17,29,35,—,0.258,0.258,7.1,7.4,8.4,8.7,7.6,10,5.5,5.5,34,36,121,7.1
Jake Elliott K  PHI,17,26,33,—,0.198,0.198,5.4,5.5,8.3,8.6,8.3,10.7,3.33,3.33,41,43,119,7
Riley Patterson K  MIA,17,27,31,—,0.216,0.216,5.9,6,8.6,9.5,9.2,10.2,3.17,3.17,38,39,119,7
Zane Gonzalez K  MIA,17,27,31,—,0.217,0.217,6,6,7,8.4,9.2,10.2,4.61,4.61,37,39,118,6.9
Chad Ryland K  ARI,17,26,33,—,0.215,0.215,5.9,6,8.3,9.1,7.3,10.7,4.56,4.56,37,38,115,6.8
Chris Boswell K  PIT,17,25,29,—,0.211,0.211,5.8,5.9,6.8,8.1,7.6,8.6,4.47,4.47,36,37,111,6.5
Ryan Fitzgerald K  CAR,17,24,28,—,0.191,0.191,5.7,5.8,7.7,8.6,8.1,9,1.91,1.91,32,35,104,6.1
Matt Gay K  LV,17,23,31,—,0.187,0.187,6,6,6.1,6.9,7.1,7.9,3.97,3.97,34,34,103,6.1
Andre Szmyt K  CLE,17,23,26,—,0.182,0.182,5,5.1,8.7,9.5,5.2,6.3,3.87,3.87,32,33,101,5.9
Ben Sauls K  NYG,17,20,26,—,0.191,0.193,5.9,6.1,6.8,8.4,5.4,7.5,1.86,1.86,25,31,85,5
Dominic Zvada K  NYG,17,7,9,—,0.067,0.068,1.87,1.93,2.14,2.64,1.87,2.7,0.735,0.735,9,12,30,1.8
Matt Prater K  BUF,17,0,0,—,—,—,—,—,—,—,—,—,—,—,0,0,0,0
Blake Grupe K  IND,17,0,0,—,—,—,—,—,—,—,—,—,—,—,0,0,0,0
